arr_port^pax^Airport_name^City_name
LHR     ^88809.0^London Heathrow Airport^['London']
MCO     ^70930.0^Orlando International Airport^['Orlando']
LAX     ^70530.0^Los Angeles International Airport^['Los Angeles']
LAS     ^69630.0^McCarran International Airport^['Las Vegas']
JFK     ^66270.0^John F. Kennedy International Airport^['New York City']
CDG     ^64490.0^Paris Charles de Gaulle Airport^['Paris']
BKK     ^59460.0^Suvarnabhumi Airport^['Bangkok']
MIA     ^58150.0^Miami International Airport^['Miami']
SFO     ^58000.0^San Francisco International Airport^['San Francisco']
DXB     ^55590.0^Dubai International Airport^['Dubai']
